epoch,step,train_kl_loss,train_loss,train_recon_loss,val_kl_loss,val_loss,val_recon_loss
0,437,,,,0.06508160382509232,0.1249043196439743,0.05982271954417229
0,437,0.20278319716453552,0.2996487617492676,0.09686554223299026,,,
1,875,,,,0.01042230799794197,0.06574288010597229,0.055320583283901215
1,875,0.029362287372350693,0.08433461934328079,0.054972369223833084,,,
2,1313,,,,0.00017237654537893832,0.05212526023387909,0.05195288732647896
2,1313,0.002846775809302926,0.055825695395469666,0.052978917956352234,,,
3,1751,,,,5.133402009960264e-05,0.05255324766039848,0.05250189080834389
3,1751,7.682026625843719e-05,0.053911883383989334,0.05383507162332535,,,
4,2189,,,,9.457324631512165e-05,0.05221366137266159,0.052119091153144836
4,2189,7.067173282848671e-05,0.052663639187812805,0.0525929294526577,,,
5,2627,,,,0.00014302249473985285,0.05354637652635574,0.053403355181217194
5,2627,0.00012248997518327087,0.0522591695189476,0.05213667079806328,,,
6,3065,,,,0.00013239200052339584,0.05242455378174782,0.05229214206337929
6,3065,0.00013468907854985446,0.053070973604917526,0.05293629318475723,,,
7,3503,,,,9.657371265348047e-05,0.053455233573913574,0.053358662873506546
7,3503,9.767404844751582e-05,0.051635902374982834,0.051538191735744476,,,
